date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:58	53690/53690	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Jan%202020%2004:28:27%20GMT	https://coderthemes.com/codefox/layouts/horizontal/index.html	C:/My%20Web%20Sites/Project1/coderthemes.com/codefox/layouts/horizontal/index.html	(from )
14:50:59	177/177	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Jan%202020%2008:57:04%20GMT	https://coderthemes.com/robots.txt		(from )
14:50:59	99678/99678	---MCZ	200	added ('OK')	image/x-icon	date:Sat,%2011%20Jan%202020%2004:28:27%20GMT	https://coderthemes.com/codefox/layouts/horizontal/assets/images/favicon.ico	C:/My%20Web%20Sites/Project1/coderthemes.com/codefox/layouts/horizontal/assets/images/favicon.ico	(from https://coderthemes.com/codefox/layouts/horizontal/index.html)
14:50:59	10719/10719	---MCZ	200	added ('OK')	text/css	date:Sat,%2011%20Jan%202020%2004:28:27%20GMT	https://coderthemes.com/codefox/layouts/horizontal/assets/libs/bootstrap-select/bootstrap-select.min.css	C:/My%20Web%20Sites/Project1/coderthemes.com/codefox/layouts/horizontal/assets/libs/bootstrap-select/bootstrap-select.min.css	(from https://coderthemes.com/codefox/layouts/horizontal/index.html)
14:51:00	2386/2386	---MCZ	200	added ('OK')	text/css	date:Sat,%2011%20Jan%202020%2004:28:27%20GMT	https://coderthemes.com/codefox/layouts/horizontal/assets/libs/c3/c3.min.css	C:/My%20Web%20Sites/Project1/coderthemes.com/codefox/layouts/horizontal/assets/libs/c3/c3.min.css	(from https://coderthemes.com/codefox/layouts/horizontal/index.html)
14:51:02	202133/202133	---MCZ	200	added ('OK')	text/css	date:Sat,%2011%20Jan%202020%2004:28:27%20GMT	https://coderthemes.com/codefox/layouts/horizontal/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Project1/coderthemes.com/codefox/layouts/horizontal/assets/css/bootstrap.min.css	(from https://coderthemes.com/codefox/layouts/horizontal/index.html)
14:51:03	233548/233548	---MCZ	200	added ('OK')	text/css	date:Sat,%2011%20Jan%202020%2004:28:27%20GMT	https://coderthemes.com/codefox/layouts/horizontal/assets/css/icons.min.css	C:/My%20Web%20Sites/Project1/coderthemes.com/codefox/layouts/horizontal/assets/css/icons.min.css	(from https://coderthemes.com/codefox/layouts/horizontal/index.html)
14:51:10	81822/81822	---MCZ	200	added ('OK')	text/css	date:Sat,%2011%20Jan%202020%2004:28:27%20GMT	https://coderthemes.com/codefox/layouts/horizontal/assets/css/app.min.css	C:/My%20Web%20Sites/Project1/coderthemes.com/codefox/layouts/horizontal/assets/css/app.min.css	(from https://coderthemes.com/codefox/layouts/horizontal/index.html)
14:51:10	3294/3294	---M--	200	added ('OK')	image/jpeg	etag:%225e194eeb-cde%22	https://coderthemes.com/codefox/layouts/horizontal/assets/images/users/avatar-1.jpg	C:/My%20Web%20Sites/Project1/coderthemes.com/codefox/layouts/horizontal/assets/images/users/avatar-1.jpg	(from https://coderthemes.com/codefox/layouts/horizontal/index.html)
14:51:10	4132/4132	---M--	200	added ('OK')	image/jpeg	etag:%225e194eeb-1024%22	https://coderthemes.com/codefox/layouts/horizontal/assets/images/users/avatar-4.jpg	C:/My%20Web%20Sites/Project1/coderthemes.com/codefox/layouts/horizontal/assets/images/users/avatar-4.jpg	(from https://coderthemes.com/codefox/layouts/horizontal/index.html)
